iso3_country,Country Name,subsector,start_time,end_time,gas,emissions_quantity,Emssion_qty_avg_replaced,GDP per capita (current US$),Population,Unnamed: 10,Unnamed: 11,Unnamed: 12,Total_GDP,Emissions_Intensity,Emissions_per_capita,Avg_Intensity_2015_2024,log_GDP_pc,log_Emissions_Intensity,log_Emissions_per_capita
BDI,Burundi,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,245.66167833200922,11859446,,,,2913411408.4478335,102.2419540179756,0.002117883923077014,728.1727330971248,5.503955298017958,4.627342102515993,-6.1573377910561895
BDI,Burundi,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,245.66167833200922,12255336,,,,3010666410.2826924,102.2419540179756,0.0020494689023622037,728.1727330971248,5.503955298017958,4.627342102515993,-6.190174542622082
BDI,Burundi,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,255.8324539388995,12617036,,,,3227847281.315437,98.17726263142,0.001990715570598356,728.1727330971248,5.544522753414955,4.586774647118997,-6.21926107143184
BDI,Burundi,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,264.98037926965486,12965481,,,,3435598072.7935038,94.7878861417131,0.0019372154430676348,728.1727330971248,5.579655782753221,4.55164161778073,-6.246503623996587
BDI,Burundi,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,302.99250526355235,13321097,,,,4036192552.8887916,82.89620892817962,0.0018855001220995538,728.1727330971248,5.713708070099663,4.4175893304342875,-6.273562123472417
BDI,Burundi,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,250.62725309725457,13689450,,,,3430949249.9122114,100.21627620142934,0.0018347654595327059,728.1727330971248,5.523966787934658,4.607330612599294,-6.300838566110308
BDI,Burundi,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,219.42483088269827,14047786,,,,3082433067.3263364,114.467127165873,0.0017879635993885443,728.1727330971248,5.39100971774847,4.740287682785481,-6.3266779047923105
BEL,Belgium,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,40893.804537772005,11274196,,,,461044767544.531,0.614198906262206,0.00222782449586649,3.8235510205226424,10.618733852262814,-0.48743645172886324,-6.106729687185685
BEL,Belgium,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,41854.5498296444,11331422,,,,474271566739.72876,0.6001003504333569,0.0022165735262529274,3.8235510205226424,10.641955787562523,-0.510658387028572,-6.11179268698236
BEL,Belgium,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,44035.3239358548,11375158,,,,500908767351.5302,0.5703814069038581,0.002208051089927718,3.8235510205226424,10.692747407539397,-0.5614500070054455,-6.115644966991954
BEL,Belgium,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,47487.21003925607,11427054,,,,542638913427.9212,0.5289198923086171,0.0021980232192829402,3.8235510205226424,10.76821569143367,-0.6369182908997197,-6.120196813738087
BEL,Belgium,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,47487.21003925607,11488980,,,,545579606396.8122,0.5289198923086171,0.0021861757980255864,3.8235510205226424,10.76821569143367,-0.6369182908997197,-6.125601426762517
BEL,Belgium,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,45906.287580524586,11538604,,,,529694473501.7913,0.547134855458355,0.0021767737258337316,3.8235510205226424,10.734357370992296,-0.6030599704583437,-6.1299113947159425
BEL,Belgium,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,51658.23829495799,11586195,,,,598522422241.8508,0.48621344530929334,0.0021678324954827704,3.8235510205226424,10.852404964151159,-0.7211075636172071,-6.134027414491787
BEL,Belgium,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,50605.74966770862,11680210,,,,591085783326.2668,0.4963256188264125,0.002150383428037681,3.8235510205226424,10.831820478616793,-0.7005230780828423,-6.142109067617497
BEL,Belgium,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,55291.47545413294,11779946,,,,651330595110.0115,0.4542640581338032,0.0021321770082817016,3.8235510205226424,10.920374024708114,-0.7890766241741624,-6.150611704702089
BEL,Belgium,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,56614.56794990358,11858610,,,,671370081636.4061,0.4436478265139313,0.00211803322817767,3.8235510205226424,10.94402161534754,-0.8127242148135881,-6.1572672962432184
BEN,Benin,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,1002.4188687961384,11360681,,,,11388160996.773783,25.0563220644124,0.0022108648257969745,153.85881309236103,6.910171227024148,3.2211261735098033,-6.114371470878498
BEN,Benin,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,1010.533896199298,11697842,,,,11821065853.38379,24.85510888300418,0.002147142184002827,153.85881309236103,6.918234080268519,3.2130633202654324,-6.143617491204087
